"","OSA_prob_intercept","OSA_misclassification_rate","OSA_true_est","pval_true_est","OSA_observed_est","pval_observed_est"
"1",-1.5,0.4,0.0849359235661226,0.00226499425379199,0.0546590262621373,0.12217420117445
"2",-1.5,0.4,0.0853298471803844,0.00193431959225418,0.0993828395402546,0.00335819632166876
"3",-1.5,0.4,0.172542188722867,2.36440988352559e-10,0.172243444047603,2.88571296047745e-07
"4",-1.5,0.4,0.089909942744664,0.000992716597832671,0.0584007182892114,0.0833677288487057
"5",-1.5,0.4,0.0349556596041754,0.204662752904921,0.0248349647632437,0.465636959856421
"6",-1.5,0.4,0.0585039564374752,0.0336527902304955,0.0333939720111958,0.324147128943827
"7",-1.5,0.4,0.0889242594624206,0.00126798617368167,0.0907523711969957,0.00767556275279401
"8",-1.5,0.4,0.113867205396863,3.43240861850236e-05,0.111899209384811,0.000932929237692627
"9",-1.5,0.4,0.104039921740105,0.000165400242797105,0.102100960975237,0.00276975448863518
"10",-1.5,0.4,0.0762008779677517,0.00587740972589903,0.0426967081578687,0.208861461430096
"11",-1.5,0.4,0.126148949357701,4.23985174440886e-06,0.0970582130826012,0.00397210085692632
"12",-1.5,0.4,0.146546375830207,1.06499601798984e-07,0.174468035384405,2.5719814007192e-07
"13",-1.5,0.4,0.0844559747037371,0.00206538348124429,0.107605044763149,0.00140894850840474
"14",-1.5,0.4,0.0811436762463793,0.00364647631667018,0.0872584449501504,0.0122364342804387
"15",-1.5,0.4,0.0910375653701979,0.00089577086867503,0.0807213014132814,0.0158264137421245
"16",-1.5,0.4,0.114247670522636,3.58100258959005e-05,0.0809013096241136,0.0169374679405392
"17",-1.5,0.4,0.0701901554067192,0.0104396625715666,0.0849126864312585,0.0114072148425301
"18",-1.5,0.4,0.119500108185381,1.23362597806713e-05,0.0897807372231888,0.00774122429292801
"19",-1.5,0.4,0.0791618013625988,0.00414296632669685,0.0466895219549374,0.170464588451872
"20",-1.5,0.4,0.137332653754519,4.52870987302917e-07,0.11604361028148,0.000552076727033737
"21",-1.5,0.4,0.112380665384875,3.73822691205154e-05,0.126859272652852,0.000161515514651835
"22",-1.5,0.4,0.113567033677096,2.63588541250371e-05,0.0578699550212442,0.0870853911078803
"23",-1.5,0.4,0.0945444333427829,0.000551779858861429,0.115842059565283,0.000597070828259404
"24",-1.5,0.4,0.115740084821634,3.03179985281916e-05,0.0913579377098721,0.00779601097599123
"25",-1.5,0.4,0.155116330804533,1.1373944753976e-08,0.171251349236553,3.18198867895504e-07
"26",-1.5,0.4,0.0322278429076525,0.243755128695105,0.0508969508804038,0.139715640228984
"27",-1.5,0.4,0.0812611967675489,0.0033470382805182,0.0480389087171564,0.156760490996273
"28",-1.5,0.4,0.105691274110393,0.000115073581649112,0.0868954583451243,0.00984925200464154
"29",-1.5,0.4,0.0611665656319575,0.0260712878910236,0.0735064194632687,0.0304584191126091
"30",-1.5,0.4,0.0896371303995112,0.00115348817275617,0.115136242718228,0.000637843288215234
"31",-1.5,0.4,0.13361003231381,9.79960744214525e-07,0.0956067682946566,0.00442987076604286
"32",-1.5,0.4,0.111440438179967,4.04406774180174e-05,0.104462033086396,0.00153973948371315
"33",-1.5,0.4,0.127619074018932,3.52107920919136e-06,0.136023824650939,5.83246883275427e-05
"34",-1.5,0.4,0.074265857868216,0.00608013411605599,0.0929389536234645,0.00499643971870105
"35",-1.5,0.4,0.0486506952569123,0.0784764325701686,0.0424256479922806,0.214271841148309
"36",-1.5,0.4,0.108254553885437,9.32282412297665e-05,0.130463335877926,9.9918820910278e-05
"37",-1.5,0.4,0.0829826369622177,0.00275793286385711,0.0877851384373369,0.0107579955487485
"38",-1.5,0.4,0.144233699498394,1.43248045434218e-07,0.16165997090044,1.73937270897493e-06
"39",-1.5,0.4,0.0639839641051293,0.0203076409284625,0.0292316970019267,0.388719024816913
"40",-1.5,0.4,0.11015718752064,5.63882529113879e-05,0.0972792843856859,0.00351081061965857
"41",-1.5,0.4,0.12810474344003,2.72942982429307e-06,0.102162508986602,0.00245347812155306
"42",-1.5,0.4,0.145992764273086,1.09943252536364e-07,0.139265737308233,4.02140605364886e-05
"43",-1.5,0.4,0.125356068539027,4.26951314903807e-06,0.111703436435402,0.000751530077900981
"44",-1.5,0.4,0.0797198021030017,0.00385930093219493,0.0648361001256326,0.0569246477440788
"45",-1.5,0.4,0.104935486712375,0.000105050011661429,0.0645439948335834,0.0558886082674459
"46",-1.5,0.4,0.0672068555769754,0.0148849246832551,0.0554564386204402,0.105669695985384
"47",-1.5,0.4,0.0893875072304325,0.00101344521166946,0.0827160470218129,0.0140979849073296
"48",-1.5,0.4,0.0712141155202216,0.00975962589145763,0.0541192189459886,0.109728833886356
"49",-1.5,0.4,0.148942205941444,4.94144440937846e-08,0.126171397600882,0.000178517734340925
"50",-1.5,0.4,0.089012061931796,0.00114141210051709,0.0574141218299734,0.0852551941505685
"51",-1.5,0.4,0.129646020526262,2.04092600480517e-06,0.123914803695635,0.00022083405475815
"52",-1.5,0.4,0.114615630336828,2.77169774169784e-05,0.112805410642804,0.000730020533237634
"53",-1.5,0.4,0.125688242496452,3.61419469924424e-06,0.145568934050237,1.19606762138036e-05
"54",-1.5,0.4,0.0789465971240295,0.00380156635087623,0.0460041460351161,0.168769540014766
"55",-1.5,0.4,0.0791147469662364,0.00453428622571491,0.0723898977133066,0.0355670843277489
"56",-1.5,0.4,0.119531712619654,1.53222508890574e-05,0.097900725099603,0.00428393813627197
"57",-1.5,0.4,0.115106293898286,2.50419045036819e-05,0.0875849610422669,0.00957567465338421
"58",-1.5,0.4,0.0846075366209041,0.00196518192483919,0.0614440097495315,0.068949941969909
"59",-1.5,0.4,0.0804792051260748,0.00332776810273099,0.0594772326904566,0.0779167184191753
"60",-1.5,0.4,0.116138796272489,2.28691431188179e-05,0.108454891327305,0.00122232095547856
"61",-1.5,0.4,0.145148780071419,1.33251692960131e-07,0.150197737393727,8.47059248700623e-06
"62",-1.5,0.4,0.0929614361852225,0.000579781886372802,0.0266347880856436,0.427355531308574
"63",-1.5,0.4,0.088545895277004,0.0010387395182999,0.089194623496035,0.00676321508957719
"64",-1.5,0.4,0.0870933400220286,0.0016814840836994,0.0916937388586738,0.00722873648109039
"65",-1.5,0.4,0.0903832163749977,0.000860126528598015,0.0727769814679135,0.0281054648560522
"66",-1.5,0.4,0.103398848301811,0.000166481899576614,0.0897473012080248,0.00814948102786567
"67",-1.5,0.4,0.0898899858687194,0.00124536510436318,0.0919071836338124,0.00678907709834449
"68",-1.5,0.4,0.0670672117783384,0.0139859639321475,0.0703483434387574,0.0362397550787423
"69",-1.5,0.4,0.114693267983955,2.88726166642146e-05,0.0811847658899416,0.016496649432966
"70",-1.5,0.4,0.0628023660648329,0.0233054633707645,0.0287266037816758,0.398355363184255
"71",-1.5,0.4,0.149987427560029,3.31867656752714e-08,0.111836788882654,0.000886298134073201
"72",-1.5,0.4,0.0945042462216491,0.000593282484398403,0.0855404827452556,0.0119757211294597
"73",-1.5,0.4,0.135975339569467,4.71041588461188e-07,0.0875306062841234,0.00847619445128898
"74",-1.5,0.4,0.0898340987048954,0.000939080863017842,0.065987309109503,0.0509501754648945
"75",-1.5,0.4,0.109230998633813,6.9074840246855e-05,0.105189686766189,0.00180868405886157
"76",-1.5,0.4,0.107307059523693,7.4373053765779e-05,0.0911558178873697,0.00651415702449307
"77",-1.5,0.4,0.0945634554908416,0.000619564591373992,0.0855533217154432,0.0109840579565747
"78",-1.5,0.4,0.11980736800262,1.04670835394589e-05,0.0740201495342524,0.0262469651113655
"79",-1.5,0.4,0.0509710694943168,0.0636634883198708,0.0775250594338057,0.0206024527962596
"80",-1.5,0.4,0.113797272890247,3.54573044428325e-05,0.121126764352687,0.000290499566429432
"81",-1.5,0.4,0.106904818875611,9.06010159335109e-05,0.11654971077155,0.000484612883203776
"82",-1.5,0.4,0.0943721550975671,0.000543115445413077,0.0598357670807844,0.0764622987691403
"83",-1.5,0.4,0.0915761753047279,0.000728230424850337,0.0555148078045543,0.101910981610228
"84",-1.5,0.4,0.133210995709307,1.25402187787268e-06,0.132184061696358,8.30382467743635e-05
"85",-1.5,0.4,0.100969232099601,0.000256512127117755,0.0820726012190892,0.017744416461616
"86",-1.5,0.4,0.0149537919780794,0.595160170541229,0.00996505195809766,0.775061632662555
"87",-1.5,0.4,0.108751297921616,8.10715541869438e-05,0.0810308107884489,0.0170109434313125
"88",-1.5,0.4,0.0918949635631759,0.000709791282973005,0.111353674256342,0.00078041813036237
"89",-1.5,0.4,0.122725889261864,6.35985206524112e-06,0.108202810638592,0.00117548601776524
"90",-1.5,0.4,0.0945314394782366,0.000589048567764557,0.0926998081491438,0.00603425610362241
"91",-1.5,0.4,0.139759114970369,3.10833796036456e-07,0.129799965589826,0.000107070259916747
"92",-1.5,0.4,0.110105620734492,5.5768942186168e-05,0.110790778583728,0.00105009316179805
"93",-1.5,0.4,0.116438722128753,2.32663915936153e-05,0.138451324572741,4.08726101772486e-05
"94",-1.5,0.4,0.0756497478158746,0.0056926308041899,0.0798419700258784,0.0160564831559258
"95",-1.5,0.4,0.0698401284224533,0.0108522046967695,0.0430090142218046,0.203930792020251
"96",-1.5,0.4,0.101127445721193,0.000227078312942931,0.0753455545824401,0.0256223677351877
"97",-1.5,0.4,0.106008430778698,0.00010915537530942,0.102802975700215,0.00251535309478623
"98",-1.5,0.4,0.113333342699415,2.43490510856288e-05,0.06741941019926,0.0432433413910933
"99",-1.5,0.4,0.0787278257138674,0.00367718243891206,0.0740450314071946,0.0243536398656857
"100",-1.5,0.4,0.132526084225559,1.01068707116504e-06,0.155044878638275,3.53831799119066e-06
"101",-1.5,0.4,0.101023415540589,0.000257947117762185,0.0928257444062008,0.00632438823814328
"102",-1.5,0.4,0.100633303025658,0.000216444092840282,0.0971935666230525,0.00360683846418042
"103",-1.5,0.4,0.104497046503081,0.000130694686131475,0.0936377281769993,0.0057049856868723
"104",-1.5,0.4,0.140368041803318,2.65552493800847e-07,0.134969920800274,6.78636562620104e-05
"105",-1.5,0.4,0.12689617479458,3.47768916820196e-06,0.117933180822926,0.000510266718324562
"106",-1.5,0.4,0.0795860321638139,0.00370918501755341,0.0650740070873181,0.0526702113949389
"107",-1.5,0.4,0.104737486185046,0.000117678919722503,0.106254006447149,0.00143791149543124
"108",-1.5,0.4,0.115718490155416,2.40831229040772e-05,0.0771648956608537,0.0201487376600214
"109",-1.5,0.4,0.100975381100501,0.00024320345593514,0.0648672419552414,0.0565949261875058
"110",-1.5,0.4,0.0994757579004183,0.000333649421014347,0.0682255823244375,0.0476159533565626
"111",-1.5,0.4,0.146905873670206,4.97284952084489e-08,0.156643633488305,2.04915942308571e-06
"112",-1.5,0.4,0.054782751323547,0.045773385597879,0.0324662495707626,0.343904124859219
"113",-1.5,0.4,0.131164385261839,1.79896735700711e-06,0.0926069758145081,0.00632848177475442
"114",-1.5,0.4,0.102649530768086,0.000176298062609317,0.0490959337520751,0.144356591943904
"115",-1.5,0.4,0.113620222690491,3.27565715441261e-05,0.0914825359230782,0.00670209744776326
"116",-1.5,0.4,0.100449969292478,0.000238988620719931,0.0793435319993907,0.0184304127489777
"117",-1.5,0.4,0.0711109661172029,0.0102394304149613,0.0594192328362803,0.0846416175850583
"118",-1.5,0.4,0.139834815703143,3.06095480747156e-07,0.103775930141864,0.0026074313551063
"119",-1.5,0.4,0.148822562070133,4.12970929438841e-08,0.151280597338001,5.08503090036602e-06
"120",-1.5,0.4,0.123320732191259,5.38596523465603e-06,0.107154381551152,0.00136247176567028
"121",-1.5,0.4,0.111622929224649,5.54840360931743e-05,0.0912142565410755,0.00761263878452691
"122",-1.5,0.4,0.0963554211098113,0.000446509799338202,0.0830734980587077,0.0132687899869101
"123",-1.5,0.4,0.122126993058201,8.72631424965624e-06,0.147176067836787,1.32800914808621e-05
"124",-1.5,0.4,0.122487983920103,7.89121691914023e-06,0.123808884523481,0.000228527439644355
"125",-1.5,0.4,0.0612619536739193,0.0268460600811974,0.06920137936879,0.0435596412802791
"126",-1.5,0.4,0.11038564549078,4.73805414269247e-05,0.0479747973487907,0.15841845057801
"127",-1.5,0.4,0.100808799172571,0.000260730804212252,0.0549889626417203,0.102333865928979
"128",-1.5,0.4,0.0542813212290476,0.0490187348166729,0.0787829301182187,0.0188563404715241
"129",-1.5,0.4,0.116652701345543,2.30604133469172e-05,0.0680135847004952,0.0472261290844022
"130",-1.5,0.4,0.0810495694637666,0.00356790201026651,0.0914543171198299,0.00748783056541094
"131",-1.5,0.4,0.118104335637775,1.69314188334591e-05,0.10137730294538,0.00261752751479491
"132",-1.5,0.4,0.0574309317826433,0.036086989219927,0.0499056756862893,0.139908943786755
"133",-1.5,0.4,0.109365511783522,7.064045276961e-05,0.111279034201032,0.000961492968340092
"134",-1.5,0.4,0.120421401993961,1.00022971952395e-05,0.127936785099164,0.000122041093010529
"135",-1.5,0.4,0.112937651445018,3.76716031982614e-05,0.0749896889985937,0.0274237426080869
"136",-1.5,0.4,0.0837074743041257,0.00250034294479161,0.0746296743282097,0.0285968424785255
"137",-1.5,0.4,0.0837800513943572,0.0021573633625726,0.0904995230055038,0.00712555502794764
"138",-1.5,0.4,0.0781220944352018,0.00404877347896243,0.0886812226259391,0.00759468341265922
"139",-1.5,0.4,0.115357559185474,2.09911626029033e-05,0.0932029104830978,0.00538911670993872
"140",-1.5,0.4,0.0866907004766291,0.00147787907145127,0.0900594903118025,0.00700032682458336
"141",-1.5,0.4,0.0422056499848138,0.124418496061982,0.0199064314583371,0.553784872821264
"142",-1.5,0.4,0.121392510648357,9.88327518682768e-06,0.102353466853063,0.00255971001238987
"143",-1.5,0.4,0.0187553214322825,0.494866150060922,0.0116571556783115,0.73182755775746
"144",-1.5,0.4,0.113257116765291,4.52808355636463e-05,0.127765294809994,0.000157051204829075
"145",-1.5,0.4,0.0737783159205228,0.00660673069766902,0.0369006017712673,0.27348156386741
"146",-1.5,0.4,0.0963353674759963,0.000389621254896054,0.0949596540620355,0.00394372471826671
"147",-1.5,0.4,0.0966485757735239,0.000406556984412784,0.127060214445272,0.000136137612232667
"148",-1.5,0.4,0.138124317457088,4.48990934363746e-07,0.13244431737115,7.07159568239767e-05
"149",-1.5,0.4,0.0842574050541032,0.00218541727184765,0.0844465757860044,0.0130367233491844
"150",-1.5,0.4,0.112143375380146,4.23790390126458e-05,0.130479169076872,9.40641372011274e-05
"151",-1.5,0.4,0.0639105525677603,0.0205956290212261,0.0480051641021856,0.16049958774238
"152",-1.5,0.4,0.0899578896508958,0.00100829720383765,0.0446460315296364,0.192585108230603
"153",-1.5,0.4,0.102900604104451,0.000160524199072477,0.101394168026372,0.00247223046778214
"154",-1.5,0.4,0.129209628737294,2.07932934728762e-06,0.11353724500662,0.000685375505228521
"155",-1.5,0.4,0.0666129783552375,0.0159837700531128,0.0617617971048762,0.070810409545371
"156",-1.5,0.4,0.119346568227004,1.22097193789583e-05,0.129706136394373,0.000120276749908738
"157",-1.5,0.4,0.0549410266132855,0.0464796953813128,0.0564917185946494,0.0963784791874663
